,번호,사업장명,소재지전체주소,도로명전체주소,개업일자,영업상태명,약국영업면적,인허가구분명,지정일자,전화번호,위치정보(X),위치정보(Y),상세영업상태명,구별
0,1,새현대약국,서울특별시 종로구 적선동 80 현대아케이트38호,서울특별시종로구사직로130,19890828,운영중,23,약국,19890828,720-5662,197643.3417,452924.143,영업중,종로구
1,2,인성약국,서울특별시 종로구 무악동 42번지 2호,서울특별시종로구통일로250,20080730,운영중,28.2,약국,20080730,02-363-8311,196285.8569,452799.0139,영업중,종로구
2,3,한마음약국,서울특별시 종로구 원남동 118-1 1층,서울특별시종로구창경궁로158,20000814,운영중,154,약국,20000814,02-3676-4411,199788.8431,452990.1056,영업중,종로구
3,4,국일약국,서울특별시 종로구 관철동 5-1,서울특별시종로구종로16길12,19840113,운영중,24,약국,19840113,02-2275-7225,198984.9436,452224.0734,영업중,종로구
4,5,종로세란약국,서울특별시 종로구 종로6가 127-1,서울특별시종로구종로41길4,20050526,운영중,23,약국,20050526,02-763-3237,200607.3866,452439.6099,영업중,종로구
5,6,성심약국,서울특별시 종로구 창신동 25번지 4호,서울특별시종로구지봉로61,20080303,운영중,36.5,약국,20080303,02-743-2062,201367.0822,452886.8024,영업중,종로구
6,7,민약국,서울특별시 종로구 내자동 180번지,서울특별시종로구사직로12길26,19680110,운영중,14.76,약국,19680110,02-738-8816,197426.0669,452821.0318,영업중,종로구
7,8,동호약국,서울특별시 종로구 명륜동 3가 2-3,서울특별시종로구성균관로53,19850106,운영중,39,약국,19850106,02-742-4816,199685.6741,454207.6614,영업중,종로구
8,9,새성은약국,서울특별시 종로구 묘동 190번지 1호   103호,서울특별시종로구돈화문로35-1,19841024,운영중,24,약국,19841024,02-764-5968,199259.4734,452460.2248,영업중,종로구
9,10,세검약국,서울특별시 종로구 홍지동 99-3,서울특별시종로구자하문로306,19751001,운영중,25,약국,19751001,02-395-9944,196386.4602,455575.1609,영업중,종로구
10,11,함춘약국,서울특별시 종로구 연건동 32-2,서울특별시종로구대학로93,20071019,운영중,95,약국,20071019,02-741-0370,200161.2392,453338.6324,영업중,종로구
11,12,옥인온누리약국,서울특별시 종로구 적선동 100-1  경복빌딩 103호,서울특별시종로구자하문로2길4,19960918,운영중,80,약국,19960918,02-725-1490,197602.5236,452981.4822,영업중,종로구
12,13,정민약국,서울특별시 종로구 명륜4가 144,서울특별시종로구대학로9길37,19791013,운영중,16,약국,19791013,02-763-3248,199998.7257,453601.3731,영업중,종로구
13,14,종근당약국,서울특별시 종로구 종로5가 193-2021,서울특별시종로구종로230-1,19940711,운영중,85,약국,19940711,02-2274-1311,200291.3103,452360.0844,영업중,종로구
14,15,우리약국,서울특별시 종로구 옥인동 170-34,서울특별시종로구옥인길32-5,19850904,운영중,17,약국,19850904,02-738-9179,197062.8827,453506.2498,영업중,종로구
15,16,백수약국,서울특별시 종로구 종로5가 42-1,서울특별시종로구종로233-1,19900326,운영중,79,약국,19900326,02-766-1083,200333.9666,452415.6864,영업중,종로구
16,17,성당약국,서울특별시 종로구 낙원동 210번지,서울특별시종로구수표로115,19800819,운영중,13.68,약국,19800819,02-765-4342,199041.7532,452339.787,영업중,종로구
17,18,한독약국,서울특별시 종로구 동숭동 130-65,서울특별시종로구동숭길52,19750531,운영중,16,약국,19750531,02-762-4636,200391.8612,453447.3776,영업중,종로구
18,19,동인약국,서울특별시 종로구 창신동 687-26,서울특별시종로구창신길11,19810924,운영중,24,약국,19810924,02-743-7371,200929.6993,452522.8408,영업중,종로구
19,20,대흥사약국,서울특별시 종로구 봉익동 22번지 2호,서울특별시종로구돈화문로6가길40,19990817,운영중,22,약국,19990817,02-764-4548,199313.3215,452550.9242,영업중,종로구
20,21,돈미약국,서울특별시 종로구 가회동 30-9,서울특별시종로구북촌로51-1,19681115,운영중,39,약국,19681115,02-763-2220,198664.8251,453552.6518,영업중,종로구
21,22,시민약국,서울특별시 종로구 적선동 106-3,서울특별시종로구자하문로2,19741028,운영중,26,약국,19741028,02-736-6512,197591.2306,452978.1721,영업중,종로구
22,23,종로프라자약국,서울특별시 종로구 옥인동 19-33,서울특별시종로구자하문로63,20030102,운영중,71,약국,20030102,02-736-0806,197402.4548,453559.6245,영업중,종로구
23,24,삼보약국,서울특별시 종로구 관수동 17번지 1호,서울특별시종로구수표로92,19750415,운영중,16,약국,19750415,02-2279-9230,199084.9047,452205.1217,영업중,종로구
24,25,희망약국,서울특별시 종로구 연건동 198-2,서울특별시종로구율곡로204,20070102,운영중,49,약국,20070102,02-747-1139,200133.9099,452926.126,영업중,종로구
25,26,참약국,서울특별시 종로구 서린동 111번지 1호 인주빌딩 606호,서울특별시종로구종로22,20000612,운영중,25,약국,20000612,02-737-4855,198204.3729,452259.7805,영업중,종로구
26,27,믿음약국,서울특별시 종로구 창신동 303번지 명제빌딩 지하1층,서울특별시종로구종로335-1,20080502,운영중,58,약국,20080502,02-745-6678,201293.3196,452608.2618,영업중,종로구
27,28,명륜시장약국,서울특별시 종로구 명륜동1가 16-31,서울특별시종로구성균관로56-1,19990227,운영중,42,약국,19990227,02-747-3443,199716.588,454237.2968,영업중,종로구
28,29,숭인다모아약국,서울특별시 종로구 숭인동 56-42외3필지,서울특별시종로구지봉로8길54,20010403,운영중,77,약국,20010403,02-765-5885,201389.7385,453021.0816,영업중,종로구
29,30,독일약국,서울특별시 종로구 창신동 525,서울특별시종로구종로314,20031007,운영중,100,약국,20031007,02-764-5511,201114.9331,452484.9566,영업중,종로구
30,31,열린약국,서울특별시 종로구 종로4가 185번지 12층,서울특별시종로구종로204,20030416,운영중,34,약국,20030416,02-2264-8210,200029.0538,452352.5972,영업중,종로구
31,32,늘푸른약국,서울특별시 종로구 평동 166번지 2층,서울특별시종로구새문안로17,20051004,운영중,59,약국,20051004,02-734-9600,197145.8773,451990.1743,영업중,종로구
32,33,수도약국,서울특별시 종로구 관훈동 37,서울특별시종로구인사동길40,19840204,운영중,74,약국,19840204,02-732-3336,198687.1677,452722.1512,영업중,종로구
33,34,정성약국,서울특별시 종로구 숭인동 1051,서울특별시종로구종로399,19761119,운영중,25,약국,19761119,02-923-1363,201906.5048,452843.1243,영업중,종로구
34,35,정문약국,서울특별시 종로구 원남동 128-1 1층 2층,서울특별시종로구창경궁로162-2,20000615,운영중,232,약국,20000615,02-765-7200,199795.5576,453038.1369,영업중,종로구
35,36,충신약국,서울특별시 종로구 충신동 27-36,서울특별시종로구율곡로259,19800213,운영중,34,약국,19800213,02-762-9909,200600.0545,452720.963,영업중,종로구
36,37,백화점약국,서울특별시 종로구 종로5가 214-1,서울특별시종로구종로234-1,19940719,운영중,320,약국,19940719,02-2264-1161,200330.8912,452357.7618,영업중,종로구
37,38,효성약국,서울특별시 종로구 창신2동 634,서울특별시종로구창신길95,19920323,운영중,32,약국,19920323,02-763-4386,200910.3156,452923.783,영업중,종로구
38,39,태약국,서울특별시 종로구 종로4가 3,서울특별시종로구종로199-1,19880713,운영중,19,약국,19880713,02-763-9414,199991.7855,452399.7901,영업중,종로구
39,40,캐슬온누리약국,서울특별시 종로구 숭인동 76 롯데캐슬 천지인상가 207호,서울특별시종로구종로347,20050218,운영중,50,약국,20050218,02-3672-0305,201451.0088,452723.5801,영업중,종로구
