index,사업장명,소재지전체주소,도로명전체주소,개업일자,영업상태명,약국영업면적,인허가구분명,지정일자,전화번호,x축,y축,상세영업상태명,구별
1,새현대약국,서울특별시 종로구 적선동 80 현대아케이트38호,서울특별시종로구사직로130,19890828,운영중,23.0,약국,19890828.0,720-5662,37.5753274,126.973307,영업중,종로구
2,인성약국,서울특별시 종로구 무악동 42번지 2호,서울특별시종로구통일로250,20080730,운영중,28.2,약국,20080730.0,02-363-8311,37.574705200000004,126.95792720000001,영업중,종로구
3,한마음약국,서울특별시 종로구 원남동 118-1 1층,서울특별시종로구창경궁로158,20000814,운영중,154.0,약국,20000814.0,02-3676-4411,37.57620479999999,126.99759540000001,영업중,종로구
4,국일약국,서울특별시 종로구 관철동 5-1,서울특별시종로구종로16길12,19840113,운영중,24.0,약국,19840113.0,02-2275-7225,37.5695341,126.98847260000001,영업중,종로구
5,종로세란약국,서울특별시 종로구 종로6가 127-1,서울특별시종로구종로41길4,20050526,운영중,23.0,약국,20050526.0,02-763-3237,37.5714192,127.006855,영업중,종로구
6,성심약국,서울특별시 종로구 창신동 25번지 4호,서울특별시종로구지봉로61,20080303,운영중,36.5,약국,20080303.0,02-743-2062,37.5754856,127.0154581,영업중,종로구
7,민약국,서울특별시 종로구 내자동 180번지,서울특별시종로구사직로12길26,19680110,운영중,14.76,약국,19680110.0,02-738-8816,37.5748925,126.9708473,영업중,종로구
8,동호약국,서울특별시 종로구 명륜동 3가 2-3,서울특별시종로구성균관로53,19850106,운영중,39.0,약국,19850106.0,02-742-4816,37.5873857,126.9964287,영업중,종로구
9,새성은약국,서울특별시 종로구 묘동 190번지 1호   103호,서울특별시종로구돈화문로35-1,19841024,운영중,24.0,약국,19841024.0,02-764-5968,37.571653000000005,126.99159669999999,영업중,종로구
10,세검약국,서울특별시 종로구 홍지동 99-3,서울특별시종로구자하문로306,19751001,운영중,25.0,약국,19751001.0,02-395-9944,37.599703600000005,126.9590644,영업중,종로구
11,함춘약국,서울특별시 종로구 연건동 32-2,서울특별시종로구대학로93,20071019,운영중,95.0,약국,20071019.0,02-741-0370,37.5795606,127.0017926,영업중,종로구
12,옥인온누리약국,서울특별시 종로구 적선동 100-1  경복빌딩 103호,서울특별시종로구자하문로2길4,19960918,운영중,80.0,약국,19960918.0,02-725-1490,37.576328000000004,126.97284040000001,영업중,종로구
13,정민약국,서울특별시 종로구 명륜4가 144,서울특별시종로구대학로9길37,19791013,운영중,16.0,약국,19791013.0,02-763-3248,37.5819015,126.99997590000001,영업중,종로구
14,종근당약국,서울특별시 종로구 종로5가 193-2021,서울특별시종로구종로230-1,19940711,운영중,85.0,약국,19940711.0,02-2274-1311,37.5707431,127.0032834,영업중,종로구
15,우리약국,서울특별시 종로구 옥인동 170-34,서울특별시종로구옥인길32-5,19850904,운영중,17.0,약국,19850904.0,02-738-9179,37.5810637,126.9667284,영업중,종로구
16,백수약국,서울특별시 종로구 종로5가 42-1,서울특별시종로구종로233-1,19900326,운영중,79.0,약국,19900326.0,02-766-1083,37.57124279999999,127.0037726,영업중,종로구
17,성당약국,서울특별시 종로구 낙원동 210번지,서울특별시종로구수표로115,19800819,운영중,13.68,약국,19800819.0,02-765-4342,37.5715032,126.9890403,영업중,종로구
18,한독약국,서울특별시 종로구 동숭동 130-65,서울특별시종로구동숭길52,19750531,운영중,16.0,약국,19750531.0,02-762-4636,37.5805352,127.00441640000001,영업중,종로구
19,동인약국,서울특별시 종로구 창신동 687-26,서울특별시종로구창신길11,19810924,운영중,24.0,약국,19810924.0,02-743-7371,37.57219570000001,127.01047520000002,영업중,종로구
20,대흥사약국,서울특별시 종로구 봉익동 22번지 2호,서울특별시종로구돈화문로6가길40,19990817,운영중,22.0,약국,19990817.0,02-764-4548,37.572462,126.9922129,영업중,종로구
21,돈미약국,서울특별시 종로구 가회동 30-9,서울특별시종로구북촌로51-1,19681115,운영중,39.0,약국,19681115.0,02-763-2220,37.5814879,126.98487809999999,영업중,종로구
22,시민약국,서울특별시 종로구 적선동 106-3,서울특별시종로구자하문로2,19741028,운영중,26.0,약국,19741028.0,02-736-6512,37.576308000000004,126.9727173,영업중,종로구
23,종로프라자약국,서울특별시 종로구 옥인동 19-33,서울특별시종로구자하문로63,20030102,운영중,71.0,약국,20030102.0,02-736-0806,37.581555,126.97057439999999,영업중,종로구
24,삼보약국,서울특별시 종로구 관수동 17번지 1호,서울특별시종로구수표로92,19750415,운영중,16.0,약국,19750415.0,02-2279-9230,37.5693466,126.9896275,영업중,종로구
25,희망약국,서울특별시 종로구 연건동 198-2,서울특별시종로구율곡로204,20070102,운영중,49.0,약국,20070102.0,02-747-1139,37.5758423,127.00150149999999,영업중,종로구
26,참약국,서울특별시 종로구 서린동 111번지 1호 인주빌딩 606호,서울특별시종로구종로22,20000612,운영중,25.0,약국,20000612.0,02-737-4855,37.5698376,126.9796615,영업중,종로구
27,믿음약국,서울특별시 종로구 창신동 303번지 명제빌딩 지하1층,서울특별시종로구종로335-1,20080502,운영중,58.0,약국,20080502.0,02-745-6678,37.5729746,127.0146206,영업중,종로구
28,명륜시장약국,서울특별시 종로구 명륜동1가 16-31,서울특별시종로구성균관로56-1,19990227,운영중,42.0,약국,19990227.0,02-747-3443,37.5876589,126.9967727,영업중,종로구
29,숭인다모아약국,서울특별시 종로구 숭인동 56-42외3필지,서울특별시종로구지봉로8길54,20010403,운영중,77.0,약국,20010403.0,02-765-5885,37.576674600000004,127.01573570000001,영업중,종로구
30,독일약국,서울특별시 종로구 창신동 525,서울특별시종로구종로314,20031007,운영중,100.0,약국,20031007.0,02-764-5511,37.571871200000004,127.01261000000001,영업중,종로구
31,열린약국,서울특별시 종로구 종로4가 185번지 12층,서울특별시종로구종로204,20030416,운영중,34.0,약국,20030416.0,02-2264-8210,37.5706784,127.00032409999999,영업중,종로구
32,늘푸른약국,서울특별시 종로구 평동 166번지 2층,서울특별시종로구새문안로17,20051004,운영중,59.0,약국,20051004.0,02-734-9600,37.5673015,126.9676804,영업중,종로구
33,수도약국,서울특별시 종로구 관훈동 37,서울특별시종로구인사동길40,19840204,운영중,74.0,약국,19840204.0,02-732-3336,37.5739951,126.98511570000001,영업중,종로구
34,정성약국,서울특별시 종로구 숭인동 1051,서울특별시종로구종로399,19761119,운영중,25.0,약국,19761119.0,02-923-1363,37.5750886,127.0215732,영업중,종로구
35,정문약국,서울특별시 종로구 원남동 128-1 1층 2층,서울특별시종로구창경궁로162-2,20000615,운영중,232.0,약국,20000615.0,02-765-7200,37.576857700000005,126.99766699999999,영업중,종로구
36,충신약국,서울특별시 종로구 충신동 27-36,서울특별시종로구율곡로259,19800213,운영중,34.0,약국,19800213.0,02-762-9909,37.5739991,127.00677659999998,영업중,종로구
37,백화점약국,서울특별시 종로구 종로5가 214-1,서울특별시종로구종로234-1,19940719,운영중,320.0,약국,19940719.0,02-2264-1161,37.570722499999995,127.00373090000001,영업중,종로구
38,효성약국,서울특별시 종로구 창신2동 634,서울특별시종로구창신길95,19920323,운영중,32.0,약국,19920323.0,02-763-4386,37.575827200000006,127.01029809999999,영업중,종로구
39,태약국,서울특별시 종로구 종로4가 3,서울특별시종로구종로199-1,19880713,운영중,19.0,약국,19880713.0,02-763-9414,37.571101,126.99989280000001,영업중,종로구
40,캐슬온누리약국,서울특별시 종로구 숭인동 76 롯데캐슬 천지인상가 207호,서울특별시종로구종로347,20050218,운영중,50.0,약국,20050218.0,02-3672-0305,37.5738039,127.0161663,영업중,종로구
41,푸른온누리약국,서울특별시 종로구 평동 180,서울특별시종로구새문안로19,20040830,운영중,33.0,약국,20040830.0,02-720-0333,37.567388,126.96788629999999,영업중,종로구
42,경일약국,서울특별시 종로구 평창동 300-1,서울특별시종로구평창문화로35,19771110,운영중,18.0,약국,19771110.0,02-391-3469,37.572950299999995,126.97935790000001,영업중,종로구
43,은성약국,서울특별시 종로구 낙원동 62,서울특별시종로구삼일대로434,19761206,운영중,16.0,약국,19761206.0,02-765-4808,37.5733118,126.98812040000001,영업중,종로구
44,동시약국,서울특별시 종로구 종로4가 165번지 1호 동흥빌딩,서울특별시종로구종로202-1,19950120,운영중,55.0,약국,19950120.0,02-2268-4055,37.57059279999999,127.0002143,영업중,종로구
45,보성온누리약국,서울특별시 종로구 명륜1가 10-22,서울특별시종로구명륜길22,19730210,운영중,55.0,약국,19730210.0,02-762-6654,37.5883847,126.9956567,영업중,종로구
46,영화약국,서울특별시 종로구 종로6가 215-56,서울특별시종로구종로41길47,19940126,운영중,22.0,약국,19940126.0,02-764-4868,37.5732662,127.0058683,영업중,종로구
47,한일약국,서울특별시 종로구 예지동 166-1,서울특별시종로구창경궁로11길3,20030512,운영중,22.0,약국,20030512.0,02-2275-0024,37.569593100000006,126.99760819999999,영업중,종로구
48,푸른소나무약국,서울특별시 종로구 수송동 58번지 두산위브파빌리온 207호,서울특별시종로구삼봉로81,20081001,운영중,35.0,약국,20081001.0,02-2198-5333,37.5723555,126.98180179999999,영업중,종로구
49,종로약국,서울특별시 종로구 종로4가 8번지,서울특별시종로구종로195,20081211,운영중,45.0,약국,20081211.0,745-3184,37.5710807,126.9993067,영업중,종로구
50,새동서약국,서울특별시 종로구 종로5가 138번지 19호,서울특별시종로구동호로403,20081231,운영중,54.81,약국,20081231.0,02-2285-1055,37.5704805,127.00163529999999,영업중,종로구
51,건강한세상약국,서울특별시 종로구 평동 178 123층지하1층,서울특별시종로구새문안로21,20010329,운영중,121.0,약국,20010329.0,02-733-7870,37.5674562,126.9679567,영업중,종로구
52,성진약국,서울특별시 종로구 혜화동 114-2,서울특별시종로구창경궁로271-1,19730208,운영중,61.46,약국,19730208.0,02-762-2211,37.585524299999996,127.0005841,영업중,종로구
53,대도약국,서울특별시 종로구 견지동 109번지 1층,서울특별시종로구우정국로38-1,19900516,운영중,27.71,약국,19900516.0,02-737-4510,37.5724446,126.98324509999999,영업중,종로구
54,현대온누리약국,서울특별시 종로구 계동 140번지 2호 지하1층,서울특별시종로구율곡로75,20060925,운영중,19.24,약국,20060925.0,02-746-7750,37.5781153,126.98749609999999,영업중,종로구
55,신코아약국,서울특별시 종로구 관철동 12번지 13호 1층,서울특별시종로구종로12길23,20080731,운영중,16.5,약국,20080731.0,02-734-9020,37.5689137,126.98589779999999,영업중,종로구
56,청자약국,서울특별시 종로구 명륜동3가 1-119,서울특별시종로구명륜길70,19701023,운영중,19.0,약국,19701023.0,02-762-4933,37.589773799999996,126.9938297,영업중,종로구
57,유성약국,서울특별시 종로구 종로5가182-4,서울특별시종로구동호로408,20011023,운영중,67.0,약국,20011023.0,02-2263-9666,37.5706935,127.00221429999999,영업중,종로구
58,보람약국,서울특별시 종로구 창신동 330-2,서울특별시종로구종로326,19941021,운영중,46.0,약국,19941021.0,02-766-3366,37.572261,127.0139678,영업중,종로구
59,녹십자약국,서울특별시 종로구 창신동 687-1,서울특별시종로구창신길17,20060525,운영중,36.0,약국,20060525.0,02-765-2766,37.57244179999999,127.0106032,영업중,종로구
60,대성약국,서울특별시 종로구 창신동 436-79 동대문상가 가동 내제1층호,서울특별시종로구청계천로291,20070326,운영중,17.1,약국,20070326.0,02-743-5800,37.5700268,127.0103578,영업중,종로구
61,대경약국,서울특별시 종로구 창신동 143-18,서울특별시종로구종로51나길2,20061222,운영중,41.0,약국,20061222.0,02-744-2434,37.5725774,127.01226670000001,영업중,종로구
62,금왕약국,서울특별시 종로구 창신1동 131번지 8호,서울특별시종로구창신5길19,19650112,운영중,28.0,약국,19650112.0,02-763-5493,37.573836799999995,127.01158999999998,영업중,종로구
63,연약국,서울특별시 종로구 종로3가 28-2 2층,서울특별시종로구종로137,19821117,운영중,16.5,약국,19821117.0,02-743-0799,37.5707008,126.99277659999998,영업중,종로구
64,동아약국,서울특별시 종로구 종로4가 149-1,서울특별시종로구종로192,20020501,운영중,74.0,약국,20020501.0,02-2285-5702,37.570565,126.99905770000001,영업중,종로구
65,광교약국,서울특별시 종로구 관철동 287,서울특별시종로구청계천로49,19920319,운영중,16.0,약국,19920319.0,02-734-4690,37.569048200000005,126.9831,영업중,종로구
66,소담약국,서울특별시 종로구 명륜동2가 143-9,서울특별시종로구성균관로18,20060417,운영중,11.3,약국,20060417.0,02-765-2126,37.584364799999996,126.9976253,영업중,종로구
67,이약국,서울특별시 종로구 창신동 243,서울특별시종로구지봉로43,19741222,운영중,25.0,약국,19741222.0,02-763-4197,37.5740273,127.01540829999999,영업중,종로구
68,세민약국,서울특별시 종로구 누하동 5 -2,서울특별시종로구자하문로7길73,20030826,운영중,18.0,약국,20030826.0,02-739-8851,37.58034910000001,126.9687784,영업중,종로구
69,공생약국,서울특별시 종로구 종로5가 193번지 17호 1층,서울특별시종로구종로228,20081229,운영중,95.2,약국,20081229.0,2273-7826,37.57067,127.0030535,영업중,종로구
70,제신약국,서울특별시 종로구 종로6가 272번지 4호 동대문종합시장 D동,서울특별시종로구종로266,20090302,운영중,20.46,약국,20090302.0,2279-7388,37.5706612,127.00725790000001,영업중,종로구
71,미소약국,서울특별시 종로구 종로3가 10번지 낙원빌딩403호,서울특별시종로구종로115,20091007,운영중,34.78,약국,20091007.0,764-6024,37.5705692,126.9904521,영업중,종로구
72,사랑약국,서울특별시 종로구 구기동 110번지 1호 요진오피스텔쉐레이 1층 3호,서울특별시종로구진흥로432,20091109,운영중,34.56,약국,20091109.0,379-5632,37.6081556,126.9565535,영업중,종로구
73,국화약국,서울특별시 종로구 평창동 331번지 쇼핑센타뉴본빌딩 1층,서울특별시종로구평창11길3,20091013,운영중,26.2,약국,20091013.0,395-9105,37.6059277,126.96662920000001,영업중,종로구
74,마이팜약국,서울특별시 종로구 무악동 68번지,서울특별시종로구통일로16길2,20100128,운영중,132.23,약국,20100128.0,738-3044~5,37.5753978,126.95727790000001,영업중,종로구
75,인제약국,서울특별시 종로구 종로4가 153번지 1호,서울특별시종로구종로194,20100223,운영중,23.0,약국,20100223.0,2266-4312,37.5705946,126.9991547,영업중,종로구
76,튼튼약국,서울특별시 종로구 명륜2가 21번지 9호 1층,서울특별시종로구창경궁로34길18-5,20140311,운영중,38.9,약국,20140311.0,02-762-2323,37.5840826,127.00079699999999,영업중,종로구
77,종각3층다정약국,서울특별시 종로구 관철동 16번지 5호 3층,서울특별시종로구종로70,20140303,운영중,17.8,약국,20140303.0,02-732-2462,37.569856099999996,126.98515379999999,영업중,종로구
78,플러스약국,서울특별시 종로구 종로2가 75번지 9호 미려빌딩 1층,서울특별시종로구종로78,20140211,운영중,16.54,약국,20140211.0,02-733-4163,37.569847499999995,126.98603680000001,영업중,종로구
79,안국온누리약국,서울특별시 종로구 경운동 89번지 4호 운현궁에스케이허브 101동 203호,서울특별시종로구삼일대로461,20140213,운영중,35.25,약국,20140213.0,02-6283-8008,37.5757217,126.98556210000001,영업중,종로구
80,임자약국,서울특별시 종로구 효제동 126번지 2호,서울특별시종로구김상옥로55,20140310,운영중,71.13,약국,20140310.0,02-742-1145,37.5736414,127.00388559999999,영업중,종로구
81,안국3층약국,서울특별시 종로구 안국동 163번지 305호,서울특별시종로구율곡로47,20140922,운영중,25.99,약국,20140922.0,02-735-8242,37.5762989,126.9845773,영업중,종로구
82,혜화약국,서울특별시 종로구 혜화동 109번지 1호,서울특별시종로구혜화로8,20141230,운영중,69.5,약국,20141230.0,02-762-0373,37.5880001,127.0003433,영업중,종로구
83,바로약국,서울특별시 종로구 청진동 70번지 지하137호,서울특별시종로구종로33,20141107,운영중,20.5,약국,20141107.0,02-2158-7900,37.571699100000004,127.00131770000002,영업중,종로구
84,남영약국,서울특별시 종로구 경운동 89번지 4호 운현궁SK허브 101동113114호,서울특별시종로구삼일대로461,20150102,운영중,41.34,약국,20150102.0,02-733-4774,37.5757217,126.98556210000001,영업중,종로구
85,인앤아웃약국,서울특별시 종로구 종로1가 421호,서울특별시종로구종로19,20150209,운영중,34.17,약국,20150209.0,02-2075-7505,37.5708033,126.9798544,영업중,종로구
86,행복약국,서울특별시 중구 묵정동 24번지 19호,서울특별시중구퇴계로50길33,20030820,운영중,26.23,약국,20030820.0,02-2263-4312,37.561182099999996,127.00114369999999,영업중,중구
87,서현온누리약국,서울특별시 중구 남창동 9번지 15호,서울특별시중구퇴계로61,20030828,운영중,7.65,약국,20030828.0,02-776-5830,37.559324100000005,126.97890509999999,영업중,중구
88,명동사랑약국,서울특별시 중구 충무로1가 24번지 31호 1층 102호,서울특별시중구퇴계로109,20031125,운영중,20.12,약국,20031125.0,02-2124-1612,37.560912,126.98384890000001,영업중,중구
89,센츄럴팜약국,서울특별시 중구 봉래동2가 122번지 11호,서울특별시중구한강대로405,20040527,운영중,66.96,약국,20040527.0,02-393-5505,37.555042,126.96953359999999,영업중,중구
90,연세약국,서울특별시 중구 남대문로5가 84번지 11호,서울특별시중구통일로10,20040531,운영중,18.75,약국,20040531.0,02-2259-0488,37.5570572,126.97362109999999,영업중,중구
91,수연약국,서울특별시 중구 태평로2가 340번지 6호 대한일보빌딩 101호,서울특별시중구서소문로138,20040607,운영중,18.37,약국,20040607.0,02-777-1578,37.563613000000004,126.9763021,영업중,중구
92,소망약국,서울특별시 중구 신당동 145번지 3호,서울특별시중구퇴계로88길42,20040616,운영중,24.7,약국,20040616.0,02-2253-2355,37.563751399999994,127.02022849999999,영업중,중구
93,에이스약국,서울특별시 중구 무교동 97번지,서울특별시중구세종대로136,20040812,운영중,58.06,약국,20040812.0,02-779-7697,37.5683731,126.9782699,영업중,중구
94,보생당약국,서울특별시 중구 필동1가 40번지 1호 동화빌딩,서울특별시중구퇴계로189,20041214,운영중,33.0,약국,20041214.0,02-2267-8830,37.561318,126.99285649999999,영업중,중구
95,유네스코약국,서울특별시 중구 명동2가 50-14 유네스코빌딩402호,서울특별시중구명동길26,20050725,운영중,14.49,약국,20050725.0,02-778-7880,37.5634096,126.9837369,영업중,중구
96,하나약국,서울특별시 중구 무교동 1번지 효령빌딩,서울특별시중구무교로32,20050822,운영중,27.9,약국,20050822.0,02-755-5155,37.568715000000005,126.97957269999999,영업중,중구
