"번호","사업장명","소재지전체주소","도로명전체주소","개업일자","영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지면적","소재지우편번호","판매점영업면적","전화번호","위치정보(X)","위치정보(Y)","상세영업상태명"
"1","GS25 오류행운점","서울특별시 구로구 오류동 4번지 1호","서울특별시 구로구 경인로15길 80-4 (오류동)","20150325","운영중","","","","","","152889","99","","185589.01586700000  ","444208.69842900000  ","영업중"
"2","365플러스 신월시영점","","서울특별시 양천구 지양로3길 10 (신월동)","20150312","운영중","","","","","","","","","185494.19682900000  ","446587.69837300000  ","영업중"
"3","GS25 신월유일점","서울특별시 양천구 신월동","서울특별시 양천구 신월로 147 1층 (신월동)","20150319","운영중","","","","","","158829","","","185856.01519000000  ","446456.10498300000  ","영업중"
"4","CU 신월지양점","서울특별시 양천구 신월동","서울특별시 양천구 지양로7길 6 1층 (신월동)","20150323","운영중","","","","","","158845","","","185240.60344200000  ","446944.69849900000  ","영업중"
"5","CU 신정오피스점","서울특별시 양천구 신정동","서울특별시 양천구 오목로 207 1층 (신정동)","20150323","운영중","","","","","","158857","","","187667.06042300000  ","447379.18766100000  ","영업중"
"6","GS25 화곡나누리점","","서울특별시 강서구 가로공원로 188 (화곡동)","20150310","운영중","","","","","","","42","2608-1846","185587.79824800000  ","448611.78371100000  ","영업중"
"7","㈜코리아세븐 강서화곡중앙점","","서울특별시 강서구 화곡로 130 1층 (화곡동 동원빌딩)","20150312","운영중","","","","","","","49.5","","185523.62508000000  ","448981.30823200000  ","영업중"
"8","GS25 화곡도담점","","서울특별시 강서구 화곡로44가길 43 1층 (화곡동)","20150318","운영중","","","","","","","33","2603-3647","186611.68893100000  ","450029.75528400000  ","영업중"
"9","GS25 화곡세화","","서울특별시 강서구 곰달래로25길 8 (화곡동)","20150330","운영중","","","","","","","57","","186671.29626400000  ","447973.88408000000  ","영업중"
"10","씨유 평창북악점","서울특별시 종로구 평창동 97번지 9호","서울특별시 종로구 평창30길 19 (평창동)","20150330","운영중","","","","","","110846","","","197772.13847500000  ","456893.52409200000  ","영업중"
"11","GS25 난곡로점","서울특별시 관악구 신림동 1567번지 1호 12층","서울특별시 관악구 난곡로 288 12층 (신림동)","20150312","운영중","","","","","","151899","","","192495.97654800000  ","442251.35792100000  ","영업중"
"12","CU 관악삼성점","서울특별시 관악구 신림동 341번지 45호 1층","서울특별시 관악구 원신길 142 1층 (신림동)","20150312","운영중","","","","","","151861","","","193808.45373300000  ","440822.13294000000  ","영업중"
"13","세븐일레븐 신림허브그린점","서울특별시 관악구 신림동 1421번지 29호","서울특별시 관악구 신림로 344 (신림동)","20121123","운영중","","","","","","151890","","","193807.00379800000  ","442858.28596200000  ","영업중"
"14","GS25 관악법원단지점","서울특별시 관악구 신림동 610번지 140호 1층 B02호","서울특별시 관악구 법원단지21길 2 1층 B02호 (신림동)","20150320","운영중","","","","","","151879","","","193173.36794800000  ","441740.22540800000  ","영업중"
"15","GS25 신촌이화점","서울특별시 서대문구 대현동 104번지 46호","서울특별시 서대문구 연세로2길 90 (대현동)","20121106","운영중","","","","","","120809","","","194853.11809300000  ","450834.55385200000  ","영업중"
"16","GS25 연희점","서울특별시 서대문구 연희동 122번지 7호","서울특별시 서대문구 증가로 21-1 (연희동)","20121106","운영중","","","","","","120825","","02-323-9973","193872.47718300000  ","452288.82182400000  ","영업중"
"17","GS25 홍제","서울특별시 서대문구 홍제동 249번지 1호","서울특별시 서대문구 세무서길 31 (홍제동)","20121108","운영중","","","","","","120857","","02-394-0054","195187.63081600000  ","454437.16377800000  ","영업중"
