번호,약국명,공휴일 시작,공휴일 종료,위도,경도,구별
1,민약국,900,2000,37.5748925,126.9708473,종로구
2,종근당약국,900,2000,37.5707431,127.0032834,종로구
3,한독약국,930,2130,37.5805352,127.0044164,종로구
4,삼보약국,1000,2200,37.5693466,126.9896275,종로구
5,열린약국,700,1800,37.5706784,127.0003241,종로구
6,충신약국,800,2130,37.5739991,127.0067766,종로구
7,태약국,900,2000,37.571101,126.9998928,종로구
8,동시약국,800,1900,37.5705928,127.0002143,종로구
9,유성약국,830,1930,37.5706935,127.0022143,종로구
10,동아약국,1000,1900,37.570565,126.9990577,종로구
11,인제약국,800,1900,37.5705946,126.9991547,종로구
12,연합약국,800,1900,37.5605395,126.9850662,중구
13,새원약국,1100,2100,37.5637293,126.9852878,중구
14,정원약국,1100,2200,37.5636675,126.9776064,중구
15,장수약국,900,1730,37.5652265,127.0195821,중구
16,부일약국,900,2130,37.5627334,127.0131064,중구
17,종로백제약국,1000,1830,37.5712211,127.0039744,종로구
18,부광약국,900,1930,37.5712049,127.0025981,종로구
19,하트약국,1200,2000,37.5826659,127.0021429,종로구
20,보령약국,900,1700,37.5713013,127.0004652,종로구
21,신세계약국,1300,2100,37.5700969,126.9913845,종로구
22,다산온누리약국,1000,2000,37.5558422,127.0109529,중구
23,소아제일약국,830,1800,37.533217,127.0047222,용산구
24,수약국,830,1300,37.5396294,126.9608563,용산구
25,새인선약국,900,2200,37.5459875,127.0541717,성동구
26,새인선약국,900,2200,37.5514251,127.0678489,성동구
27,신라약국,1100,2200,37.5500942,127.0670382,성동구
28,정민약국,1100,2300,37.5677999,127.0506845,성동구
29,신세계약국,800,2200,37.5366902,127.0575116,성동구
30,대중약국,900,2130,37.5644667,127.0280634,성동구
31,명동하이약국,1200,2300,37.5651142,126.9839311,중구
32,백두산약국,900,2300,37.5462755,127.0440499,성동구
33,비트플렉스약국,1100,2230,37.5621482,127.0379421,성동구
34,유명한약국,830,2030,37.5483456,127.021881,성동구
35,신효창프라자약국,800,1300,37.5395573,126.9610667,용산구
36,수복약국,730,2400,37.5392214,126.9575013,용산구
37,전약국,1000,2230,37.5338365,126.9939277,용산구
38,보현온누리약국,1000,2000,37.5458724,126.9850682,용산구
39,구온누리약국,1000,1300,37.5512938,126.9625504,용산구
40,서울중앙약국,700,2300,37.5490645,126.9704658,용산구
41,종로프라자약국,1000,2300,37.5288539,126.9640447,용산구
42,옵티마뚝도시장약국,1000,2200,37.5374541,127.0540995,성동구
43,금성약국,930,2100,37.5376448,127.0836627,광진구
44,더샾스타시티약국,900,2300,37.5376127,127.0726183,광진구
45,보림약국,900,200,37.5708961,127.0705258,동대문구
46,새성수약국,1100,2300,37.5807176,127.0516323,동대문구
47,외대조은약국,1000,2400,37.5764921,127.0604586,동대문구
48,성심약국,1030,2400,37.5900409,127.0564928,동대문구
49,신종로사약국,900,2000,37.5946019,127.06521,동대문구
50,봄약국,900,2200,37.5329216,127.0759214,광진구
51,조은우리약국,930,2200,37.5373796,127.0830368,광진구
52,삼육오약국,1000,2200,37.5401601,127.0631631,광진구
53,온누리메디칼약국,900,2200,37.5405784,127.0676377,광진구
54,더클래식약국,900,2400,37.5387765,127.0710831,광진구
55,동서울약국,830,2200,37.5333713,127.0933675,광진구
56,완미약국,930,2400,37.5448201,127.0854319,광진구
57,더샾스타시티약국,900,2300,37.5383305,127.0751022,광진구
58,종우약국,1000,2000,37.5358584,127.0608781,광진구
59,중부고속약국,700,2100,37.5333713,127.0933675,광진구
60,에스케이행복약국,900,1300,37.5764921,127.0604586,동대문구
61,연수당약국,900,1900,37.5764234,127.0313417,동대문구
62,남지약국,930,2100,37.5668809,127.0599194,동대문구
63,서생당약국,900,1800,37.5749819,127.0469616,동대문구
64,세광약국,700,2030,37.5794752,127.042044,동대문구
65,행복한정약국,800,1900,37.6033642,127.0622216,동대문구
66,이문우량아약국,830,1900,37.6032986,127.0655384,동대문구
67,새대우약국,900,2200,37.6064225,127.078833,중랑구
68,세화당약국,1100,2230,37.5958659,127.0759351,중랑구
69,원플러스약국,900,2300,37.6157539,127.0937534,중랑구
70,면목백화점약국,900,2230,37.5810218,127.0935553,중랑구
71,팜코리아약국,900,2000,37.5831897,127.0886458,중랑구
72,통일로약국,830,1800,37.5902506,127.0970091,중랑구
73,덕수약국,900,1200,37.5971532,127.0757912,중랑구
74,태릉프라자약국,1000,1900,37.5982954,127.076905,중랑구
75,엔파트약국,1000,1300,37.5939234,127.0749298,중랑구
76,무궁화약국,900,2200,37.5794549,127.087121,중랑구
77,수성약국,1000,1800,37.6092166,127.0946652,중랑구
78,새봉화약국,900,1400,37.6163947,127.0926039,중랑구
79,새우림약국,1600,2130,37.5986427,127.0975679,중랑구
80,튼튼약국,1500,2200,37.5838499,127.0884928,중랑구
81,수진약국,900,2130,37.6143669,127.0534274,성북구
82,동부약국,1000,1900,37.6093646,127.0241008,성북구
83,모당약국,1600,2000,37.5963256,127.015127,성북구
84,세원약국,900,2300,37.5937325,127.0188153,성북구
85,온누리민우약국,900,2200,37.6106761,127.0606347,성북구
86,대영약국,800,2100,37.5991396,127.036201,성북구
87,화성약국,800,2200,37.6085364,127.0358646,성북구
88,남정약국,910,1900,37.5816855,127.0210725,성북구
89,정주약국,1200,1800,37.6076801,127.0361554,성북구
90,서울고명약국,900,2240,37.598646,127.0205729,성북구
91,영생약국,930,2100,37.5943878,127.0339239,성북구
92,수보약국,900,2000,37.6087671,127.0080315,성북구
93,월곡약국,900,2130,37.6025504,127.0415568,성북구
94,계산온누리약국,1500,2200,37.5906234,127.0170138,성북구
95,365약국,900,2100,37.6085892,127.0294443,성북구
96,남정약국,910,1900,37.6010514,127.0368411,성북구
97,인정온누리약국,900,1500,37.5854352,127.0101732,성북구
98,옵티마대우미약국,800,2100,37.5889646,127.0063694,성북구
99,성북월드팜약국,900,2100,37.6092663,127.0524388,성북구
100,유림당약국,900,1900,37.653293,127.0407996,도봉구
101,소원약국,800,2200,37.626833,127.025582,강북구
102,서울진약국,900,1330,37.646729,127.0176891,강북구
103,우림약국,930,2200,37.6452213,127.0158234,강북구
104,요나약국,900,2100,37.6193356,127.0206844,강북구
105,이원약국,800,2300,37.6251016,127.0185515,강북구
106,늘푸른약국,900,2000,37.6125471,127.033347,강북구
107,한사랑온누리약국,900,1600,37.6322927,127.013805,강북구
108,밝은온누리약국,1000,1300,37.6208981,127.0203739,강북구
109,건강비타민약국,900,2100,37.6249579,127.0187199,강북구
110,선영약국,900,2100,37.6459822,127.0195505,강북구
111,선영약국,900,2100,37.6479885,127.0161631,강북구
112,늘푸른약국,900,2000,37.6309481,127.0175434,강북구
113,조아약국,900,1900,37.6147974,127.0293444,강북구
114,수유프라자약국,900,2100,37.633884,127.0315693,강북구
115,봄약국,900,1300,37.6224102,127.0300782,강북구
116,삼성약국,900,2100,37.6451106,127.0199495,강북구
117,백운약국,1000,2200,37.6474337,127.0344022,도봉구
118,종로세명약국,1400,2300,37.6625218,127.032467,도봉구
119,이화태평양약국,900,2100,37.6391474,127.0382089,도봉구
120,창동종로약국,800,2130,37.6526996,127.0469574,도봉구
121,보화당약국,930,2230,37.6529434,127.0506023,도봉구
122,태양약국,900,2000,37.6486098,127.0343291,도봉구
123,신프라자약국,900,1800,37.6401154,127.0391323,도봉구
124,수락프라자약국,900,2200,37.6774161,127.054858,노원구
125,다정약국,900,2100,37.6574623,127.0786935,노원구
126,당고개약국,900,2100,37.6708273,127.0799769,노원구
127,노원종로약국,830,1900,37.6282522,127.0719634,노원구
128,나현약국,1000,2230,37.6563873,127.0696141,노원구
129,종로프라자약국,1200,2100,37.6493827,127.0615412,노원구
130,목원약국,900,2000,37.6714129,127.0799686,노원구
131,열린온누리약국,900,2200,37.6252771,127.079689,노원구
132,하님약국,900,2130,37.6611031,127.0708473,노원구
133,장생약국,1100,2100,37.6387354,127.0624762,노원구
134,자인당약국,900,2200,37.6548001,127.0642032,노원구
135,화랑대약국,930,1800,37.6207817,127.0836072,노원구
136,신동아약국,1000,2230,37.62644,127.0619091,노원구
137,새하늘약국,1030,2230,37.6498393,127.0612839,노원구
138,유림약국,900,2200,37.671993,127.0567903,노원구
139,서부약국,1000,2100,37.6668466,127.056826,노원구
140,새하늘약국,1030,2230,37.6466975,127.0657247,노원구
141,상계하나로약국,900,2200,37.6648563,127.0670284,노원구
142,희망약국,1100,2100,37.671993,127.0567903,노원구
143,메디팜경약국,900,2000,37.5936882,126.9199505,은평구
144,신일약국,1000,2200,37.6007199,126.9256844,은평구
145,구룡약국,830,2030,37.5911057,126.9469472,서대문구
146,가족건강약국,800,2200,37.5071231,126.9622493,동작구
147,성대약국,900,2100,37.4999898,126.9325522,동작구
148,노량진종로약국,900,1900,37.4896278,126.9806032,동작구
149,메디팜서울약국,930,1900,37.5150053,126.8616021,양천구
150,가까운온누리약국,1300,2100,37.5173729,126.8653092,양천구
151,새비타민약국,900,1900,37.4984455,126.9336632,동작구
152,새보라매약국,1000,1800,37.4923628,126.9253318,동작구
153,예원약국,900,1300,37.5668425,126.963932,서대문구
154,한신약국,900,1900,37.5850354,126.9474505,서대문구
155,대유약국,900,2130,37.5818166,126.9358604,서대문구
156,새무지개약국,900,1300,37.5210264,126.8521472,양천구
157,사당소화약국,1300,1700,37.4771402,126.9811313,동작구
158,호남약국,830,2000,37.5574449,126.9533337,서대문구
159,엘리트약국,1000,1600,37.5556612,126.9371368,서대문구
160,가정약국,900,1300,37.5466283,126.8720586,양천구
161,에이치약국,1000,1300,37.5241644,126.8703368,양천구
162,신국경약국,900,1300,37.5457623,126.8711007,양천구
163,목동세명약국,900,2200,37.5483491,126.8665826,양천구
164,연성약국,900,1300,37.5026898,126.8626537,양천구
165,매일여는약국,900,2400,37.5274468,126.8715522,양천구
166,보생사약국,900,2200,37.5130036,126.92244,영등포구
167,건강약국,830,1400,37.5290955,126.8984405,영등포구
168,명일마트종로약국,1000,2230,37.5546516,127.1557517,강동구
169,산들약국,900,1900,37.5563679,127.1419695,강동구
170,강서홈약국,1000,2300,37.5584359,126.8547981,강서구
171,송약국,1000,2000,37.5544448,126.8682026,강서구
172,미주약국,900,2200,37.574644,126.8189919,강서구
173,태령약국,1000,2100,37.5063336,126.9107957,영등포구
174,강서메디칼약국,900,2100,37.5424559,126.8441342,강서구
175,장수약국,800,2300,37.4998635,126.9110152,영등포구
176,메디팜대원약국,1400,2200,37.6005485,126.9189476,은평구
177,한림약국,1300,2100,37.5365511,127.134689,강동구
178,강동정문약국,900,1700,37.5283515,127.1457028,강동구
179,시민당약국,900,2100,37.5380392,127.1398045,강동구
180,방화프라자약국,1000,1900,37.5728854,126.8104004,강서구
181,애플약국,900,1300,37.6350842,126.923615,은평구
182,맑은약국,1000,2200,37.5181712,126.8959156,영등포구
183,래미안온누리약국,1000,1700,37.5318721,126.9031482,영등포구
184,가양마트약국,1000,2200,37.5578966,126.8622978,강서구
185,은평자연약국,900,2200,37.6208234,126.9172857,은평구
186,불광온누리약국,1030,2100,37.6108916,126.9299497,은평구
187,정문온누리약국,830,2200,37.6084587,126.9312292,은평구
188,노벨온누리약국,1000,1800,37.5989284,126.9154095,은평구
189,아름다운달과별약국,1200,2300,37.6190571,126.9201953,은평구
190,메디팜대원약국,1400,2200,37.6004562,126.9210757,은평구
191,국제공항약국,630,1930,37.555525,126.8067017,강서구
192,마곡하늘약국,1100,2000,37.577303,126.8129837,강서구
193,엄마약국,1100,2000,37.4950722,126.8973708,영등포구
194,정안약국,830,2030,37.5013658,126.9170282,영등포구
195,신중앙약국,1300,2400,37.5078385,126.9608187,동작구
196,우리온누리약국,900,1700,37.5035423,126.9658614,동작구
197,다인약국,900,1300,37.520121,126.8901425,영등포구
198,상록수약국,900,2100,37.5522768,127.1296204,강동구
199,준온누리약국,1000,1400,37.5511076,127.1275923,강동구
200,튼튼온누리약국,900,1730,37.5476646,127.1269648,강동구
201,강동한우리약국,1000,2000,37.5503621,127.1279032,강동구
202,선약국,830,1630,37.5440064,126.83888,강서구
203,개화약국,900,2200,37.5728788,126.8073293,강서구
204,화생약국,900,2200,37.5119091,126.9355869,동작구
205,노량진종로약국,900,1900,37.5124253,126.9519018,동작구
206,동광약국,800,2200,37.4882573,126.9818578,동작구
207,가족건강약국,800,2200,37.5053511,126.9465209,동작구
208,보람약국,900,1300,37.547226,126.8367128,강서구
209,새싹약국,1000,1400,37.5484157,126.8367396,강서구
210,고성희약국,900,2200,37.448444,126.9088147,금천구
211,대우당약국,1900,2200,37.4505615,126.906579,금천구
212,녹수프라자약국,900,2200,37.4657159,126.9017801,금천구
213,고원약국,1000,2100,37.4768022,126.8948117,금천구
214,천우약국,800,2030,37.519621,126.9072575,영등포구
215,윤중약국,900,2100,37.5213559,126.9249795,영등포구
216,친절약국,830,1330,37.5196474,126.9020388,영등포구
217,미주약국,900,2200,37.561687,126.8098122,강서구
218,남문프라자약국,900,2100,37.4798346,126.8824997,금천구
219,건강플러스약국,1000,2230,37.4686493,126.8968106,금천구
220,선화온누리약국,1200,2100,37.5104348,126.9170284,영등포구
221,강서힐약국,900,1800,37.5730174,126.808655,강서구
222,녹십자약국,1400,2300,37.5557665,126.8571546,강서구
223,웰빙국내선약국,700,1950,37.555525,126.8067017,강서구
224,토마스약국,900,2200,37.4672831,126.8991085,금천구
225,성심약국,800,2100,37.4597989,126.9043307,금천구
226,명문당약국,1530,2130,37.4552857,126.900747,금천구
227,신보생약국,900,2000,37.4750233,126.9009644,금천구
228,형제약국,900,2230,37.4512048,126.9087204,금천구
229,남문프라자약국,900,2100,37.4725609,126.8986569,금천구
230,예닮약국,900,1300,37.469756,126.8975031,금천구
231,강서약국,900,2200,37.5370133,126.8632205,강서구
232,상마약국,1030,1730,37.5232563,126.8758225,양천구
233,내외약국,1000,1300,37.5182365,126.8417727,양천구
234,보람약국,900,2000,37.5443602,126.8705255,양천구
235,성심약국,1000,2000,37.5462365,126.877364,양천구
236,영민약국,900,1430,37.5345944,126.8847018,양천구
237,목동세계로약국,900,2100,37.522705,126.8766195,양천구
238,사당소화약국,1300,1700,37.4983838,126.9210091,동작구
239,대영약국,900,1300,37.5077227,126.9492564,동작구
240,신우약국,1000,2100,37.4885253,126.9787716,동작구
241,미래팜약국,1000,1600,37.5567005,126.9241437,마포구
242,태평양약국,900,2400,37.5527992,126.9239678,마포구
243,더블유스토어연세약국,830,1230,37.5575783,126.9151049,마포구
244,신일약국,1600,2240,37.5560321,126.9624213,마포구
245,금강약국,900,1800,37.5002877,127.1053521,송파구
246,비온뒤숲속약국,900,2100,37.5581472,126.9078145,마포구
247,메디컬성모약국,900,2100,37.5465389,126.9454436,마포구
248,환도약국,1100,2100,37.55895,126.9001505,마포구
249,상암월드약국,1000,2300,37.5853823,126.8821816,마포구
250,더블유스토어연세약국,830,1230,37.5551342,126.9356458,마포구
251,청심약국,900,2100,37.5508569,126.9069329,마포구
252,이화키즈팜약국,830,1330,37.5458958,126.9515058,마포구
253,마래푸약국,900,1900,37.5555758,126.9550258,마포구
254,W스토아청와약국,830,2300,37.4845387,126.8880108,구로구
255,구로종로약국,900,2200,37.4957517,126.8425667,구로구
256,하나온누리약국,1000,2100,37.4911085,126.8419011,구로구
257,365열린약국,830,2200,37.5026074,126.8498258,구로구
258,성인약국,1000,2130,37.486498,126.8561607,구로구
259,구림약국,830,2100,37.4796246,126.8898519,구로구
260,제정약국,900,1800,37.4882348,126.9281806,관악구
261,대성약국,900,2200,37.4881835,126.9589166,관악구
262,새태평양온누리약국,1200,2100,37.4753949,126.9654829,관악구
263,구로종로약국,900,2200,37.5025245,126.8496404,구로구
264,정광약국,900,2100,37.4941792,126.8583787,구로구
265,일광약국,830,2030,37.4868485,126.9175511,관악구
266,대림약국,900,2400,37.4764875,126.9587646,관악구
267,도래약국,1000,2200,37.4931521,127.1525023,송파구
268,3층메디칼약국,1000,1800,37.5157197,127.1322328,송파구
269,하나메디칼약국,1000,1700,37.4928214,127.1446138,송파구
270,일번약국,900,1730,37.5307648,127.112985,송파구
271,시장온누리약국,930,2030,37.5370915,127.1213535,송파구
272,트리지움자연약국,900,1300,37.5106681,127.0861994,송파구
273,아침햇살약국,1000,2300,37.4832997,126.9010965,구로구
274,아침햇살약국,1000,2300,37.5104893,126.8894187,구로구
275,태양약국,1000,2200,37.4955825,126.8423024,구로구
276,디큐브약국,1100,2100,37.5084321,126.8887332,구로구
277,두산약국,900,1300,37.4917902,126.8920319,구로구
278,대림약국,900,1300,37.5057794,126.880714,구로구
279,성보약국,900,2100,37.4816072,126.9432396,관악구
280,마천푸른솔약국,1100,2000,37.4981642,127.1469278,송파구
281,365바른약국,1000,2400,37.5119423,127.0870254,송파구
282,나은약국,1100,2100,37.4919206,126.8892176,구로구
283,조아약국,1000,2200,37.5023699,126.8814842,구로구
284,태영약국,900,1300,37.5055816,126.889833,구로구
285,태평양약국,930,2130,37.484189,126.9273666,관악구
286,봉천프라자약국,1000,2100,37.4819264,126.9427614,관악구
287,태평양약국,1000,2100,37.5078652,127.0879833,송파구
288,그랜드약국,900,2000,37.5092777,127.1248569,송파구
289,송파그랜드약국,1200,2200,37.4849538,127.1259706,송파구
290,팜플러스약국,900,2200,37.4956238,127.1220318,송파구
291,수태평양약국,900,2100,37.5026376,126.8499599,구로구
292,대자연약국,900,2230,37.5459172,127.1335363,강동구
293,강동태평양약국,900,2200,37.5263296,127.1351805,강동구
294,새아름약국,900,2030,37.5504248,127.1288335,강동구
295,용성약국,800,1800,37.5548972,127.137492,강동구
296,종로광명약국,900,2200,37.5507552,127.1717462,강동구
297,우리들약국,900,2430,37.5509801,127.1275225,강동구
298,믿음약국,800,2230,37.4786512,126.956964,관악구
299,혜민약국,900,2230,37.5432267,127.1449175,강동구
300,동현약국,700,2330,37.5452118,127.14157,강동구
301,봄내약국,1300,2300,37.4858519,126.9276244,관악구
302,새실로암약국,1000,2200,37.5499518,127.143503,강동구
303,신연세약국,900,1300,37.5545309,127.1350844,강동구
304,참사랑약국,1000,2100,37.4709639,126.9338898,관악구
305,헬로팜약국,1400,2300,37.5110296,127.0830765,송파구
306,뉴프라임약국,900,2200,37.494231,127.1177169,송파구
307,양생약국,900,2300,37.4781027,126.9568902,관악구
308,신미소약국,850,2300,37.4841828,126.9032353,관악구
309,주평화약국,900,2300,37.4813753,126.9483523,관악구
310,가든건강약국,1000,1700,37.5049601,127.0847025,송파구
311,온누리대광약국,900,1800,37.4925953,126.8971845,영등포구
312,중앙약국,700,2200,37.5154709,126.9066823,영등포구
313,정성온누리약국,1000,1700,37.4957407,126.9087161,영등포구
314,새난곡약국,900,1300,37.4736875,126.9184995,관악구
315,365열린약국,1000,2300,37.4845117,126.9300644,관악구
316,동의삼성약국,1300,2200,37.4968508,127.1519742,송파구
317,후생약국,900,2100,37.497363,127.15003,송파구
318,신대흥약국,900,1700,37.5210547,126.899121,영등포구
319,신길프라자약국,900,1300,37.5081661,126.905409,영등포구
320,뉴그랜드약국,900,1700,37.4995567,126.8981452,영등포구
321,종로온누리약국,1000,1800,37.4927568,126.9080731,영등포구
322,신세명약국,830,2200,37.4974405,126.9035096,영등포구
323,관악수약국,900,2200,37.4706344,126.9337182,관악구
