index,x축,y축
1,37.5747052,126.9579272
2,37.5762048,126.9975954
3,37.5695341,126.9884726
4,37.5714192,127.006855
5,37.5754856,127.0154581
6,37.5748925,126.9708473
7,37.5873857,126.9964287
8,37.571653,126.9915967
9,37.5997036,126.9590644
10,37.5795606,127.0017926
11,37.576328,126.9728404
12,37.5819015,126.9999759
13,37.5707431,127.0032834
14,37.5810637,126.9667284
15,37.5712428,127.0037726
16,37.5715032,126.9890403
17,37.5805352,127.0044164
18,37.5721957,127.0104752
19,37.572462,126.9922129
20,37.5814879,126.9848781
21,37.576308,126.9727173
22,37.581555,126.9705744
23,37.5693466,126.9896275
24,37.5758423,127.0015015
25,37.5698376,126.9796615
26,37.5729746,127.0146206
27,37.5876589,126.9967727
28,37.5766746,127.0157357
29,37.5718712,127.01261
30,37.5706784,127.0003241
31,37.5673015,126.9676804
32,37.5739951,126.9851157
33,37.5750886,127.0215732
34,37.5768577,126.997667
35,37.5739991,127.0067766
36,37.5707225,127.0037309
37,37.5758272,127.0102981
38,37.571101,126.9998928
39,37.5738039,127.0161663
40,37.567388,126.9678863
41,37.5729503,126.9793579
42,37.5733118,126.9881204
43,37.5705928,127.0002143
44,37.5883847,126.9956567
45,37.5732662,127.0058683
46,37.5695931,126.9976082
47,37.5723555,126.9818018
48,37.5710807,126.9993067
49,37.5704805,127.0016353
50,37.5674562,126.9679567
51,37.5855243,127.0005841
52,37.5724446,126.9832451
53,37.5781153,126.9874961
54,37.5689137,126.9858978
55,37.5897738,126.9938297
56,37.5706935,127.0022143
57,37.572261,127.0139678
58,37.5724418,127.0106032
59,37.5700268,127.0103578
60,37.5725774,127.0122667
61,37.5738368,127.01159
62,37.5707008,126.9927766
63,37.570565,126.9990577
64,37.5690482,126.9831
65,37.5843648,126.9976253
66,37.5740273,127.0154083
67,37.5803491,126.9687784
68,37.57067,127.0030535
69,37.5706612,127.0072579
70,37.5705692,126.9904521
71,37.6081556,126.9565535
72,37.6059277,126.9666292
73,37.5753978,126.9572779
74,37.5705946,126.9991547
75,37.5840826,127.000797
76,37.5698561,126.9851538
77,37.5698475,126.9860368
78,37.5757217,126.9855621
79,37.5736414,127.0038856
80,37.5762989,126.9845773
81,37.5880001,127.0003433
82,37.5716991,127.0013177
83,37.5757217,126.9855621
84,37.5708033,126.9798544
85,37.5611821,127.0011437
86,37.5593241,126.9789051
87,37.560912,126.9838489
88,37.555042,126.9695336
89,37.5570572,126.9736211
90,37.563613,126.9763021
91,37.5637514,127.0202285
92,37.5683731,126.9782699
93,37.561318,126.9928565
94,37.5634096,126.9837369
95,37.568715,126.9795727
96,37.561627,126.9850537
97,37.5653547,127.0018713
98,37.5649963,127.0158543
99,37.5612169,126.9853536
100,37.5605395,126.9850662
101,37.5582303,126.9820805
102,37.5607108,126.9724753
103,37.564848,126.9893363
104,37.5607773,126.9682129
105,37.5556478,127.0114037
106,37.5603617,126.9958881
107,37.5644871,126.9888657
108,37.5607238,126.9776002
109,37.560981,126.9821321
110,37.5652721,126.9931033
111,37.5593241,126.9789051
112,37.5630705,126.9822429
113,37.5669579,127.0004112
114,37.5606707,126.9737639
115,37.5623706,127.0041364
116,37.5588919,126.9637444
117,37.5585894,126.9690252
118,37.5617223,127.0170847
119,37.5516917,127.0119867
120,37.5612786,126.9693213
121,37.5662216,127.0207101
