,번호,약국명,토요일 시작,토요일 종료,위도,경도,구별
0,1,인성약국,900,1400,37.574705200000004,126.95792720000001,종로구
1,2,한마음약국,830,1400,37.57620479999999,126.99759540000001,종로구
2,3,국일약국,1100,2100,37.5695341,126.98847260000001,종로구
3,4,종로세란약국,900,1400,37.5714192,127.006855,종로구
4,5,성심약국,900,1500,37.5754856,127.0154581,종로구
5,6,민약국,900,2000,37.5748925,126.9708473,종로구
6,7,동호약국,830,2100,37.5873857,126.9964287,종로구
7,8,세검약국,1300,2130,37.599703600000005,126.9590644,종로구
8,9,함춘약국,900,1300,37.5795606,127.0017926,종로구
9,10,옥인온누리약국,830,1300,37.576328000000004,126.97284040000001,종로구
10,11,정민약국,1000,1500,37.5819015,126.99997590000001,종로구
11,12,종근당약국,900,2000,37.5707431,127.0032834,종로구
12,13,우리약국,1000,2130,37.5810637,126.9667284,종로구
13,14,백수약국,900,2000,37.57124279999999,127.0037726,종로구
14,15,성당약국,900,2200,37.5715032,126.9890403,종로구
15,16,한독약국,930,2130,37.5805352,127.00441640000001,종로구
16,17,동인약국,1200,1800,37.57219570000001,127.01047520000002,종로구
17,18,대흥사약국,800,2100,37.572462,126.9922129,종로구
18,19,시민약국,900,2200,37.576308000000004,126.9727173,종로구
19,20,종로프라자약국,1000,2250,37.581555,126.97057439999999,종로구
20,21,삼보약국,730,2400,37.5693466,126.9896275,종로구
21,22,희망약국,800,1300,37.5758423,127.00150149999999,종로구
22,23,참약국,900,1300,37.5698376,126.9796615,종로구
23,24,믿음약국,900,1600,37.5729746,127.0146206,종로구
24,25,명륜시장약국,830,2000,37.5876589,126.9967727,종로구
25,26,숭인다모아약국,830,2130,37.576674600000004,127.01573570000001,종로구
26,27,독일약국,830,1900,37.571871200000004,127.01261000000001,종로구
27,28,열린약국,700,2000,37.5706784,127.00032409999999,종로구
28,29,늘푸른약국,900,1300,37.5673015,126.9676804,종로구
29,30,수도약국,930,2100,37.5739951,126.98511570000001,종로구
30,31,정성약국,800,2200,37.5750886,127.0215732,종로구
31,32,정문약국,900,1400,37.576857700000005,126.99766699999999,종로구
32,33,충신약국,800,2130,37.5739991,127.00677659999998,종로구
33,34,백화점약국,700,2130,37.570722499999995,127.00373090000001,종로구
34,35,효성약국,900,2100,37.575827200000006,127.01029809999999,종로구
35,36,태약국,900,2000,37.571101,126.99989280000001,종로구
36,37,캐슬온누리약국,900,1400,37.5738039,127.0161663,종로구
37,38,푸른온누리약국,830,1330,37.567388,126.96788629999999,종로구
38,39,경일약국,900,2200,37.572950299999995,126.97935790000001,종로구
39,40,은성약국,830,2100,37.5733118,126.98812040000001,종로구
40,41,동시약국,700,2000,37.57059279999999,127.0002143,종로구
41,42,보성온누리약국,900,1900,37.5883847,126.9956567,종로구
42,43,영화약국,830,1500,37.5732662,127.0058683,종로구
43,44,한일약국,830,1800,37.569593100000006,126.99760819999999,종로구
44,45,새종로약국,900,1800,37.5710807,126.9993067,종로구
45,46,새동서약국,800,2000,37.5704805,127.00163529999999,종로구
46,47,건강한세상약국,900,1300,37.5674562,126.9679567,종로구
47,48,성진약국,900,2100,37.585524299999996,127.0005841,종로구
48,49,대도약국,900,1730,37.5724446,126.98324509999999,종로구
49,50,신코아약국,1000,1900,37.5689137,126.98589779999999,종로구
50,51,청자약국,900,1900,37.589773799999996,126.9938297,종로구
51,52,유성약국,830,1930,37.5706935,127.00221429999999,종로구
52,53,보람약국,900,1900,37.572261,127.0139678,종로구
53,54,녹십자약국,900,2200,37.57244179999999,127.0106032,종로구
54,55,대성약국,800,1900,37.5700268,127.0103578,종로구
55,56,대경약국,900,2100,37.5725774,127.01226670000001,종로구
56,57,금왕약국,830,2300,37.573836799999995,127.01158999999998,종로구
57,58,연약국,930,1630,37.5707008,126.99277659999998,종로구
58,59,동아약국,900,2000,37.570565,126.99905770000001,종로구
59,60,광교약국,900,2130,37.569048200000005,126.9831,종로구
60,61,소담약국,900,2100,37.584364799999996,126.9976253,종로구
61,62,이약국,900,2200,37.5740273,127.01540829999999,종로구
62,63,세민약국,900,1700,37.58034910000001,126.9687784,종로구
63,64,공생약국,900,2000,37.57067,127.0030535,종로구
64,65,제신약국,800,2000,37.5706612,127.00725790000001,종로구
65,66,미소약국,930,1430,37.5705692,126.9904521,종로구
66,67,사랑약국,900,1500,37.6081556,126.9565535,종로구
67,68,국화약국,900,1800,37.6059277,126.96662920000001,종로구
68,69,마이팜약국,900,1300,37.5753978,126.95727790000001,종로구
69,70,인제약국,800,1900,37.5705946,126.9991547,종로구
70,71,튼튼약국,900,1400,37.5840826,127.00079699999999,종로구
71,72,종각3층다정약국,900,1300,37.569856099999996,126.98515379999999,종로구
72,73,안국3층약국,900,1300,37.5762989,126.9845773,종로구
73,74,혜화약국,900,1900,37.5880001,127.0003433,종로구
74,75,바로약국,830,1530,37.571699100000004,127.00131770000002,종로구
75,76,남영약국,730,1530,37.5757217,126.98556210000001,종로구
76,77,인앤아웃약국,900,1600,37.5708033,126.9798544,종로구
77,78,서현온누리약국,900,1400,37.559324100000005,126.97890509999999,중구
78,79,명동사랑약국,900,1700,37.560912,126.98384890000001,중구
79,80,센츄럴팜약국,1000,2200,37.555042,126.96953359999999,중구
80,81,연세약국,1000,1300,37.5570572,126.97362109999999,중구
81,82,수연약국,900,1300,37.563613000000004,126.9763021,중구
82,83,소망약국,830,1400,37.563751399999994,127.02022849999999,중구
83,84,에이스약국,1000,1800,37.5683731,126.9782699,중구
84,85,보생당약국,900,1600,37.561318,126.99285649999999,중구
85,86,유네스코약국,900,1300,37.5634096,126.9837369,중구
86,87,메디칼하나약국,900,1600,37.568715000000005,126.97957269999999,중구
87,88,푸른약국,1000,2000,37.561627,126.9850537,중구
88,89,하늘약국,900,1430,37.5649963,127.0158543,중구
89,90,명동약국,930,1630,37.5612169,126.98535359999998,중구
90,91,연합약국,800,2000,37.560539500000004,126.9850662,중구
91,92,남산우리약국,900,1500,37.5582303,126.9820805,중구
92,93,그린약국,1000,1430,37.560710799999995,126.9724753,중구
93,94,신우리약국,900,1230,37.564848,126.98933629999999,중구
94,95,예솔약국,900,1400,37.5607773,126.9682129,중구
95,96,메디칼하나약국,900,1600,37.555647799999996,127.0114037,중구
96,97,필약국,900,1300,37.5603617,126.9958881,중구
97,98,한마음약국,830,1300,37.5644871,126.98886570000002,중구
98,99,새삼성약국,600,2000,37.5607238,126.97760020000001,중구
99,100,명동중앙약국,830,1900,37.560981,126.9821321,중구
100,101,비타민약국,900,1300,37.5652721,126.9931033,중구
101,102,금오약국,900,1500,37.559324100000005,126.97890509999999,중구
102,103,명동천사약국,930,1330,37.5630705,126.9822429,중구
103,104,새재약국,700,2100,37.5623706,127.00413640000001,중구
104,105,인원약국,1000,2100,37.5588919,126.96374440000001,중구
105,106,온누리정일약국,900,2300,37.558589399999995,126.9690252,중구
106,107,동화약국,900,2100,37.5617223,127.01708470000001,중구
107,108,대화약국,1000,1700,37.5516917,127.01198670000001,중구
108,109,한중약국,900,1630,37.5612786,126.9693213,중구
109,110,메디팜신웅약국,900,2100,37.5662216,127.0207101,중구
110,111,중부사약국,700,1200,37.564587200000005,126.9989136,중구
111,112,다나약국,730,2200,37.5533366,127.0112939,중구
112,113,새원약국,1000,2200,37.56372929999999,126.98528780000001,중구
113,114,대풍약국,900,2200,37.553310499999995,127.009042,중구
114,115,한일약국,1030,1330,37.563030600000005,126.9732584,중구
115,116,금천약국,1100,2000,37.5612281,126.97767479999999,중구
116,117,한미약국,730,1700,37.5694218,127.01321850000001,중구
117,118,금오약국,900,1500,37.5677014,126.97884509999999,중구
118,119,희구약국,900,1700,37.5584646,126.97735719999999,중구
119,120,신라약국,900,2000,37.5667974,126.9815345,중구
120,121,신성약국,900,2200,37.562436100000006,127.0148375,중구
121,122,지하근화사약국,800,2000,37.566937599999996,127.0015264,중구
122,123,조동약국,930,1300,37.5673064,126.9867527,중구
123,124,아세아약국,800,2100,37.5649007,126.99297469999999,중구
124,125,백조약국,800,800,37.569080299999996,126.9758729,중구
125,126,인우약국,900,2100,37.5589283,126.96594650000002,중구
126,127,정원약국,1000,2200,37.5636675,126.9776064,중구
127,128,장수약국,900,1600,37.5652265,127.0195821,중구
128,129,부일약국,900,2130,37.5627334,127.0131064,중구
129,130,방약국,900,1800,37.5669579,127.0004112,중구
130,131,광진약국,830,1600,37.5599279,127.01325770000001,중구
131,132,동국약국,830,1600,37.5607963,126.9988953,중구
132,133,동문약국,900,1200,37.56696029999999,127.00624640000001,중구
133,134,남시약국,800,1930,37.560728499999996,126.9777281,중구
134,135,영진약국,1000,1600,37.563844,126.99310439999999,중구
135,136,을지로5가보영약국,900,1300,37.567854,127.00248880000001,중구
136,137,메디팜광주약국,800,2100,37.5579756,126.9783282,중구
137,138,국민약국,900,1300,37.5670341,127.0063439,중구
138,139,서울시니어스약국,800,1600,37.5511032,127.00821450000001,중구
139,140,새생명약국,900,1900,37.5613555,127.01593510000001,중구
140,141,무릉약국,700,1900,37.5624756,126.99632040000002,중구
141,142,행복한약국,900,1500,37.5634635,127.015948,중구
142,143,기풍약국,830,1800,37.563149700000004,127.0190592,중구
143,144,우정약국,800,2000,37.570535799999995,126.99986979999998,종로구
144,145,종로백제약국,1000,1830,37.5712211,127.00397439999999,종로구
145,146,종로한사랑약국,900,1500,37.57270020000001,127.01607209999999,종로구
146,147,부광약국,900,1930,37.5712049,127.00259809999999,종로구
147,148,글로리아약국,900,1900,37.572950299999995,126.97935790000001,종로구
148,149,옥광약국,850,1350,37.5768331,126.9974228,종로구
149,150,하트약국,900,2200,37.582665899999995,127.0021429,종로구
150,151,열린온누리약국,900,2000,37.5758067,127.0212457,종로구
151,152,종로백세약국,900,1900,37.5712402,127.0022919,종로구
152,153,서울종로약국,830,1530,37.5817751,127.0016498,종로구
153,154,신동화약국,930,1800,37.571319700000004,127.007659,종로구
154,155,신두산약국,900,1830,37.5735393,127.01545320000001,종로구
155,156,동남약국,900,2200,37.570087799999996,126.9912669,종로구
156,157,동서약국,900,1930,37.5707152,127.00232390000001,종로구
157,158,성진약국,900,2100,37.572140000000005,126.9910162,종로구
158,159,새명성약국,800,1500,37.5703858,126.97408909999999,종로구
159,160,김해약국,800,2000,37.5706688,127.0006808,종로구
160,161,삼정바로약국,845,1300,37.56787429999999,126.9682656,종로구
161,162,보광약국,900,1400,37.579442799999995,127.0017081,종로구
162,163,한솔약국,800,1500,37.576300700000004,126.9707373,종로구
163,164,대서울약국,900,1400,37.57620479999999,126.99759540000001,종로구
164,165,종오약국,800,2000,37.571087299999995,126.99944690000001,종로구
165,166,보령약국,800,1930,37.571301299999995,127.0004652,종로구
166,167,지영오행당약국,830,2200,37.5855097,126.99705970000001,종로구
167,168,신세계약국,930,2300,37.570096899999996,126.9913845,종로구
168,169,중앙약국,900,1230,37.567376700000004,126.96566440000001,종로구
169,170,신서대문대학약국,900,1400,37.567466499999995,126.9656304,종로구
170,171,다나약국,900,2000,37.570112200000004,126.9919061,종로구
171,172,행복한약국,830,1400,37.5812565,126.96940330000001,종로구
172,173,백수약국,900,2000,37.571699100000004,127.00131770000002,종로구
173,174,메디칼약국,830,1300,37.5671711,126.96750559999998,종로구
174,175,올리브약국,900,1400,37.5704347,126.9747439,종로구
175,176,대우사약국,900,2100,37.55849370000001,126.97427590000001,중구
176,177,미소약국,900,1700,37.562724700000004,127.00648829999999,중구
177,178,다산온누리약국,900,2200,37.5558422,127.0109529,중구
178,179,동대문허브약국,1000,1630,37.5516055,127.00836969999999,중구
179,180,독일사약국,900,1600,37.5703294,127.0192979,중구
180,181,메디팜늘봄약국,900,1800,37.5631033,127.0152125,중구
181,182,회현약국,900,1400,37.5572727,126.9768551,중구
182,183,새열린약국,930,1600,37.570873299999995,127.0213284,중구
183,184,새열린약국,930,1600,37.5634096,126.9837369,중구
184,185,온누리정도약국,900,1600,37.5359774,126.96197509999999,용산구
185,186,이층성장약국,900,1500,37.520139799999995,126.9718634,용산구
186,187,편한약국,900,2100,37.5185268,126.98067959999999,용산구
187,188,온누리백합약국,900,1530,37.5487848,126.9774713,용산구
188,189,소아건강약국,800,1400,37.5542314,126.96853519999999,용산구
189,190,소아제일약국,800,1400,37.533217,127.0047222,용산구
190,191,서울약국,900,1630,37.545959100000005,126.97227269999999,용산구
191,192,가까운우리약국,900,1300,37.5288539,126.96404469999999,용산구
192,193,부자약국,900,2100,37.53207379999999,127.0053947,용산구
193,194,대학약국,900,1800,37.5332256,127.004567,용산구
194,195,수약국,800,1600,37.5396294,126.9608563,용산구
195,196,효창약국,900,1400,37.5407446,126.95836729999999,용산구
196,197,참온누리약국,900,2100,37.5466124,126.98153870000002,용산구
197,198,신진약국,900,1700,37.5305523,126.99691010000001,용산구
198,199,이촌프라자약국,900,2000,37.5180908,126.97871609999999,용산구
199,200,가장큰태평양약국,900,1300,37.5332791,127.00385690000002,용산구
200,201,금보약국,900,1530,37.5339773,126.95037830000001,용산구
201,202,홍주약국,830,1500,37.520855600000004,126.96984099999999,용산구
202,203,새희망약국,900,1800,37.565188299999996,127.0542199,성동구
203,204,새인선약국,900,2200,37.5459875,127.0541717,성동구
204,205,어울림온누리약국,900,1500,37.5422885,127.0181535,성동구
205,206,한진약국,900,1700,37.5559126,127.0290958,성동구
206,207,실로암약국,900,2100,37.5645052,127.0535335,성동구
207,208,옥수벽산약국,900,1500,37.5409152,127.017273,성동구
208,209,하이온누리약국,900,1630,37.5578253,127.027423,성동구
209,210,옥수벽산약국,900,1500,37.568672,127.0320307,성동구
210,211,다나을약국,900,1700,37.548640500000005,127.01692379999999,성동구
211,212,보명약국,900,1600,37.5470841,127.02045690000001,성동구
212,213,상도약국,700,2130,37.560366200000004,127.03268030000001,성동구
