구별,인구수,약국 운영 수,비례 값
강남구,"549,043",267,0.810501181
강동구,"430,522",163,0.631016921
강북구,"317,875",134,0.702582252
강서구,"600,240",187,0.51923675
관악구,"519,953",174,0.557742719
광진구,"368,337",122,0.552030704
구로구,"439,850",161,0.610056459
금천구,"252,868",76,0.500920111
노원구,"539,829",177,0.546469345
도봉구,"337,594",99,0.488752762
동대문구,"363,779",181,0.829258057
동작구,"410,487",146,0.592791814
마포구,"385,605",156,0.674265116
서대문구,"324,089",129,0.663398017
서초구,"435,258",200,0.765829309
성동구,"311,290",114,0.610363327
성북구,"454,114",184,0.675307669
송파구,"684,338",250,0.608860924
양천구,"463,931",154,0.553243191
영등포구,"402,478",194,0.80335654
용산구,"244,989",108,0.734726865
은평구,"486,159",141,0.483380951
종로구,"162,860",140,1.432723403
중구,"136,663",130,1.585408389
중랑구,"403,776",121,0.499451841
