번호,약국명,일요일 시작,일요일 종료,위도,경도,구별
1,국일약국,1500,2000,37.5695341,126.9884726,종로구
2,민약국,900,2000,37.5748925,126.9708473,종로구
3,세검약국,1300,2130,37.5997036,126.9590644,종로구
4,옥인온누리약국,900,1300,37.576328,126.9728404,종로구
5,종근당약국,900,2000,37.5707431,127.0032834,종로구
6,우리약국,1300,1930,37.5810637,126.9667284,종로구
7,성당약국,900,2100,37.5715032,126.9890403,종로구
8,한독약국,1200,2130,37.5805352,127.0044164,종로구
9,종로프라자약국,1000,2250,37.581555,126.9705744,종로구
10,숭인다모아약국,1000,1300,37.5766746,127.0157357,종로구
11,열린약국,700,1800,37.5706784,127.0003241,종로구
12,수도약국,1200,1900,37.5739951,126.9851157,종로구
13,정성약국,900,2100,37.5750886,127.0215732,종로구
14,백화점약국,800,2100,37.5707225,127.0037309,종로구
15,효성약국,900,2100,37.5758272,127.0102981,종로구
16,태약국,900,2000,37.571101,126.9998928,종로구
17,경일약국,900,2200,37.5729503,126.9793579,종로구
18,동시약국,800,1900,37.5705928,127.0002143,종로구
19,보성온누리약국,1000,1900,37.5883847,126.9956567,종로구
20,보람약국,900,1900,37.572261,127.0139678,종로구
21,대경약국,900,2100,37.5725774,127.0122667,종로구
22,금왕약국,900,1930,37.5738368,127.01159,종로구
23,동아약국,1000,1900,37.570565,126.9990577,종로구
24,광교약국,1000,2130,37.5690482,126.9831,종로구
25,소담약국,1300,2100,37.5843648,126.9976253,종로구
26,공생약국,1000,1900,37.57067,127.0030535,종로구
27,인제약국,800,1900,37.5705946,126.9991547,종로구
28,센츄럴팜약국,1000,2200,37.555042,126.9695336,중구
29,새재약국,800,2100,37.5623706,127.0041364,중구
30,새원약국,1000,2100,37.5637293,126.9852878,중구
31,장수약국,900,1730,37.5652265,127.0195821,중구
32,우정약국,800,1200,37.5705358,126.9998698,종로구
33,종로백제약국,1000,1830,37.5712211,127.0039744,종로구
34,부광약국,900,1930,37.5712049,127.0025981,종로구
35,하트약국,1200,2100,37.5826659,127.0021429,종로구
36,종로백세약국,1030,1800,37.5712402,127.0022919,종로구
37,동남약국,1200,2000,37.5700878,126.9912669,종로구
38,보령약국,900,1700,37.5713013,127.0004652,종로구
39,지영오행당약국,1100,2100,37.5855097,126.9970597,종로구
40,신세계약국,1300,2100,37.5700969,126.9913845,종로구
41,다산온누리약국,1000,2000,37.5558422,127.0109529,중구
