구별,인구수,약국 운영 수,비례 값
강남구,"549,043",47,0.142672493
강동구,"430,522",24,0.092910467
강북구,"317,875",19,0.099619872
강서구,"600,240",24,0.066640011
관악구,"519,953",30,0.096162538
광진구,"368,337",24,0.108596204
구로구,"439,850",22,0.083361752
금천구,"252,868",14,0.092274757
노원구,"539,829",25,0.077184936
도봉구,"337,594",18,0.088864139
동대문구,"363,779",32,0.146609159
동작구,"410,487",22,0.089324794
마포구,"385,605",23,0.099410882
서대문구,"324,089",15,0.077139304
서초구,"435,258",30,0.114874396
성동구,"311,290",22,0.117789414
성북구,"454,114",24,0.088083609
송파구,"684,338",37,0.090111417
양천구,"463,931",23,0.08262723
영등포구,"402,478",27,0.111807353
용산구,"244,989",20,0.136060531
은평구,"486,159",21,0.071992908
종로구,"162,860",44,0.450284498
중구,"136,663",16,0.195127186
중랑구,"403,776",23,0.094937127
